0,171,107
1,876,551
2,187,99
3,113,51
4,79,32
6,17,5
7,62,100
8,27,10
9,7,4
10,43,34
11,34,1
12,75,27
13,28,6
14,6,0
15,7,0
16,7,0
17,5,0
18,96,148
19,117,204
20,66,112
21,78,80
22,79,132
23,76,115
24,72,99
25,58,56
26,55,36
27,66,69
28,11,9
29,78,125
30,91,129
31,61,73
32,89,109
33,63,82
34,60,74
35,51,62
36,65,72
37,53,60
38,72,86
39,66,52
40,49,53
41,58,45
42,76,128
43,79,142
44,89,115
45,55,52
46,58,51
47,52,42
48,77,118
50,50,53
51,91,107
52,76,40
53,195,120
54,154,107
55,418,284
56,78,34
57,304,202
58,114,77
59,43,15
60,56,21
61,21,6
62,105,51
63,22,6
64,19,2
65,20,1
66,78,40
67,34,7
68,44,17
69,65,25
70,21,2
71,83,48
72,153,94
73,8,0
74,69,37
75,53,31
76,82,38
77,20,2
78,91,235
79,78,300
80,56,51
82,40,70
83,107,145
84,56,76
85,104,132
86,110,157
87,81,117
88,77,90
89,84,94
90,109,206
91,99,108
92,113,160
93,77,121
94,72,93
95,48,43
96,82,121
97,89,96
98,76,86
99,87,153
100,125,174
101,64,123
102,83,102
103,73,105
104,96,120
105,101,146
106,55,62
107,130,197
108,31,6
109,90,147
110,92,171
111,92,181
112,74,102
113,72,52
114,56,81
115,102,182
116,100,178
117,83,125
118,50,46
119,98,170
120,77,89
121,118,132
122,53,70
123,91,142
124,74,71
125,57,43
126,68,77
127,83,194
128,71,90
129,72,77
130,122,143
131,62,73
132,51,39
133,46,40
134,66,76
135,75,94
136,60,99
137,104,163
138,90,137
139,71,104
140,56,66
141,67,61
142,91,82
143,47,33
144,61,105
145,59,53
146,73,55
147,110,138
148,60,78
149,106,135
150,51,23
151,143,238
152,91,122
153,46,67
154,80,84
155,59,74
156,68,77
157,42,39
158,104,114
159,54,48
160,75,92
161,50,41
162,65,75
163,60,112
164,57,115
165,105,216
166,47,19
167,68,104
168,88,98
169,75,105
170,73,73
171,98,146
172,115,157
173,58,35
174,40,56
175,54,50
176,65,43
177,79,106
178,179,293
179,28,25
180,50,40
181,67,78
182,97,147
183,98,107
