0,58,23,,
1,59,50,,
2,75,78,,
3,75,102,,
4,78,90,,
5,51,54,,
6,64,64,,
7,60,95,,
8,57,54,,
9,55,50,,
10,57,37,,
11,48,42,,
12,58,59,,
13,52,48,,
14,63,65,,
15,53,51,,
16,50,28,,
17,57,47,,
18,45,36,,
19,62,38,,
20,47,39,,
21,42,38,,
22,75,70,,
23,56,46,,
24,43,30,,
25,37,28,,
26,55,34,,
27,80,88,,
28,59,58,,
29,51,49,,
30,45,47,,
31,67,44,,
32,52,43,,
33,57,46,,
34,53,58,,
35,60,79,,
36,61,57,,
37,41,42,,
38,41,21,,
39,57,50,,
40,62,60,,
41,68,44,,
42,50,33,,
43,61,70,,
44,47,49,,
45,60,39,,
46,61,36,,
47,58,55,,
48,49,40,,
49,69,67,,
50,65,71,,
51,60,51,,
52,62,50,,
53,46,31,,
54,81,82,,
55,51,46,,
56,65,42,,
57,57,40,,
58,62,69,,
59,48,32,,
60,48,28,,
61,46,31,,
62,50,51,,
63,53,36,,
64,58,40,,
65,58,44,,
66,54,53,,
67,56,65,,
68,65,72,,
69,62,72,,
70,77,69,,
71,56,47,,
72,40,29,,
73,36,26,,
74,52,102,,
75,50,53,,
76,45,55,,
77,46,34,,
78,50,35,,
79,75,85,,
80,74,82,,
81,68,76,,
82,61,41,,
83,59,54,,
84,56,60,,
85,60,46,,
86,55,38,,
87,50,56,,
88,57,43,,
89,62,66,,
90,69,59,,
91,35,12,,
92,56,28,,
93,70,85,,
94,51,56,,
95,54,37,,
96,36,35,,
97,53,46,,
98,57,68,,
99,60,49,,
100,49,30,,
101,56,44,,
102,59,61,,
103,46,45,,
104,80,99,,
105,57,50,,
106,60,43,,
107,57,39,,
108,50,37,,
109,92,111,,
110,91,120,,
111,52,20,,
112,50,55,,
113,59,42,,
114,62,47,,
115,81,102,,
,,,,
,57.40517241,52.53448276,,0.915152425
