0,18,2
1,53,41
2,55,90
3,101,215
4,104,147
5,46,45
6,182,279
7,91,202
8,65,68
9,132,223
10,90,110
11,74,90
12,34,23
13,79,116
14,67,86
15,86,91
16,86,86
17,61,84
18,73,112
19,85,138
20,64,73
21,52,27
22,107,113
23,96,154
24,37,33
25,55,46
26,62,142
27,91,113
28,55,78
29,89,154
30,81,76
31,82,104
32,102,148
33,104,172
34,75,59
35,61,55
36,33,8
37,87,41
38,44,11
39,54,27
40,151,120
41,18,0
42,21,1
43,21,0
44,34,7
45,52,12
46,34,8
47,78,39
48,27,7
49,40,14
50,45,10
51,34,4
52,36,7
53,25,14
54,79,36
55,71,40
56,70,40
57,39,9
58,22,0
59,30,5
60,17,0
61,88,34
62,39,16
63,45,22
64,8,0
65,20,1
66,56,35
67,19,6
68,33,14
69,10,0
70,18,5
71,33,8
72,20,2
73,31,6
74,19,1
75,54,22
76,32,4
77,14,0
78,9,1
79,8,0
80,17,0
81,20,1
82,76,28
83,22,3
84,11,0
85,19,0
86,22,7
87,13,0
88,20,3
89,30,3
90,31,17
91,19,1
92,22,2
93,44,24
94,16,0
95,19,0
96,9,0
97,19,1
98,43,20
99,18,1
100,32,10
101,18,1
102,21,6
103,19,1
104,33,10
105,55,19
106,18,0
107,31,12
108,20,2
109,9,0
110,13,0
111,17,1
112,17,0
113,9,0
114,22,2
115,9,0
116,16,0
117,18,5
118,12,0
119,17,0
120,21,2
121,33,7
122,15,0
123,44,12
124,10,0
125,19,1
126,9,0
127,19,0
128,17,0
129,19,1
130,10,0
131,33,6
132,21,2
133,9,0
134,21,2
135,15,1
136,17,2
137,25,6
138,20,1
139,20,2
140,17,0
141,33,8
142,10,0
143,21,3
144,21,1
145,43,16
146,20,1
147,17,1
148,8,0
149,17,1
150,9,0
151,9,0
152,7,0
153,21,11
154,18,0
155,27,7
158,6,0
159,16,0
160,21,6
161,31,12
162,11,1
