0,53,49,,
1,44,50,,
2,45,42,,
3,32,16,,
4,59,66,,
5,41,35,,
6,77,91,,
7,68,56,,
8,57,100,,
9,28,10,,
10,69,53,,
11,53,85,,
12,71,95,,
13,75,93,,
14,87,97,,
15,43,47,,
16,55,101,,
17,57,84,,
18,56,72,,
19,42,30,,
20,57,39,,
21,33,14,,
22,56,69,,
23,77,101,,
24,64,69,,
25,93,144,,
26,34,36,,
27,73,58,,
28,63,46,,
29,85,89,,
30,62,61,,
31,53,70,,
32,57,58,,
33,51,57,,
34,57,48,,
35,33,15,,
36,87,150,,
37,88,104,,
38,59,65,,
39,49,38,,
40,54,38,,
41,47,40,,
42,52,22,,
43,34,33,,
44,38,13,,
45,79,109,,
46,95,131,,
47,46,46,,
48,37,28,,
49,55,67,,
50,50,34,,
51,71,66,,
52,42,48,,
53,71,63,,
54,86,156,,
55,39,16,,
56,46,34,,
57,60,41,,
58,82,78,,
59,79,125,,
60,91,174,,
61,47,73,,
62,59,59,,
63,40,20,,
64,61,38,,
65,67,66,,
66,53,43,,
67,90,97,,
68,69,68,,
69,51,47,,
70,95,108,,
71,67,77,,
72,34,34,,
73,66,96,,
74,42,38,,
75,70,69,,
76,40,92,,
77,40,13,,
78,81,97,,
79,22,26,,
80,39,36,,
81,65,52,,
82,62,62,,
83,56,54,,
84,77,73,,
85,50,50,,
86,73,129,,
87,79,127,,
88,47,59,,
,,,,
,58.86516854,64.80898876,,1.100973468
